require storage::require storage
multiplexer end::multiplexer end
incoming packets::incoming packets
strict round::strict round
transmission channel::transmission channel
receiver address::receiver address
proper receiver::proper receiver
buffer packets::buffer packets
packet queue::packet queue
vanilla kind::vanilla kind
fancy schemes::fancy schemes
high-priority queue::high-priority queue
senders decide::senders decide
data loss::data loss
statistical multiplexer::statistical multiplexer
multiplexer transmits::multiplexer transmits
active work::active work
work stations::work stations
work station::work station
data packets::data packets
packet lengths::packet lengths
size varies::size varies
total length::total length
data part::data part
interesting scheme::interesting scheme
multiple access::multiple access
specific convergence::specific convergence
local telephone::local telephone
telephone exchange::telephone exchange
shared medium::shared medium
access system::access system
system cdma::system cdma
sense call::sense call
cell phones::cell phones
wireless station::wireless station
mobile handsets::mobile handsets
base station::base station
discuss code::discuss code
division multiple::division multiple
good things::good things
simple means::simple means
signals tdm::signals tdm
multiplexing hierarchy::multiplexing hierarchy
telephone network::telephone network
small exchange::small exchange
small number::small number
std call::std call
trunk exchange::trunk exchange
finally reach::finally reach
local exchanges::local exchanges
big trunk::big trunk
tributaries flowing::tributaries flowing
small tributaries::small tributaries
fat channel::fat channel
multiplexing hierarchies::multiplexing hierarchies
synchronous digital::synchronous digital
digital hierarchy::digital hierarchy
efficient bandwidth::efficient bandwidth
specially data::specially data
data usage::data usage
quiescent period::quiescent period
ordinary tdm::ordinary tdm
control information::control information
varying sizes::varying sizes
stdm systems::stdm systems
varying size::varying size
size cells::size cells
fixed size::fixed size
low noise::low noise
noise sensitivity::noise sensitivity
optical domain::optical domain
domain suppose::domain suppose
electrical domain::electrical domain
electrical noise::electrical noise
electrical wire::electrical wire
optical fiber::optical fiber
higher capacity::higher capacity
wasted bandwidth::wasted bandwidth
small band::small band
limited frequency::limited frequency
stdm takes::stdm takes
takes care::takes care
stdm wdm::stdm wdm
developing technology::developing technology
wdm cost::wdm cost
techniques today::techniques today
telecom network::telecom network
telecommunication network::telecommunication network
people talking::people talking
wide area::wide area
area data::area data
traffic today::traffic today
lecture preview::lecture preview
lecture computers::lecture computers
telecom networks::telecom networks
earliest network::earliest network
area communication::area communication
exclusive data::exclusive data
data networks::data networks
alexander graham::alexander graham
graham bell::graham bell
bell developed::bell developed
first telephone::first telephone
telephone instruments::telephone instruments
instruments connected::instruments connected
principle forward::principle forward
good long::good long
long term::long term
term strategy::term strategy
veritable jungle::veritable jungle
subscriber end::subscriber end
wires coming::wires coming
central switching::central switching
switching office::switching office
telephone subscribers::telephone subscribers
parallel network::parallel network
excellent history::excellent history
area network::area network
network traffic::network traffic
area networks::area networks
telecom people::telecom people
voice calls::voice calls
packet kind::packet kind
voice traffic::voice traffic
standard analog::standard analog
analog telephony::analog telephony
telephony signals::telephony signals
dsl modem::dsl modem
high frequency::high frequency
frequency digital::frequency digital
digital broadband::digital broadband
broadband signals::broadband signals
ordinary analog::ordinary analog
analog lines::analog lines
central office::central office
office end::office end
signal passes::signal passes
local loop::local loop
loop management::loop management
management system::management system
subscriber line::subscriber line
line access::line access
access multiplexer::access multiplexer
broadband digital::broadband digital
coordinates traffic::coordinates traffic
loop lines::loop lines
service kind::service kind
computers::computers
networks::networks
prof::prof
sujoy::sujoy
ghosh::ghosh
indian::indian
institute::institute
technology::technology
iit::iit
kharagpur::kharagpur
lecture::lecture
multiplexing::multiplexing
sharing::sharing
medium::medium
good::good
day::day
today::today
talk::talk
means::means
users::users
communication::communication
simplest::simplest
condition::condition
carry::carry
signal::signal
moment::moment
two::two
signals::signals
interfere::interfere
garbled::garbled
multiple::multiple
share::share
divided::divided
giving::giving
portion::portion
total::total
bandwidth::bandwidth
remember::remember
frequency::frequency
range::range
valuable::valuable
resource::resource
concerned::concerned
facilitate::facilitate
number::number
pairs::pairs
senders::senders
receivers::receivers
idea::idea
reasons::reasons
chief::chief
transmission::transmission
service::service
expensive::expensive
leased::leased
line::line
packet::packet
switching::switching
laying::laying
lines::lines
fairly::fairly
complex::complex
proposition::proposition
lay::lay
utilize::utilize
